CEE00K,103.909347228611,1.30836533299588,103.909719115731,1.30746544414016,CENTRAL EXPRESSWAY
UPB00P,103.90901789375,1.30732117364609,103.909719115731,1.30746544414016,UPPER BEDOK ROAD
BRO00F,103.90901789375,1.30732117364609,103.908570085548,1.30819902084939,BROADRICK ROAD
MAN02U,103.908215432039,1.30910851775354,103.908570085548,1.30819902084939,JALAN MANIS
UBA00H,103.908215432039,1.30910851775354,103.907837383699,1.31057990449181,UBI AVENUE 1
FAR01K,103.907215359873,1.31212244651748,103.907837383699,1.31057990449181,FARRER ROAD
PAH03Y,103.906771135397,1.31316964961867,103.907215359873,1.31212244651748,PASIR PANJANG HILL
ZZ203A,103.906771135397,1.31316964961867,103.906478144254,1.31386361620265,GREENWICH DRIVE
PEH00F,103.906478144254,1.31386361620265,103.906316627136,1.31424620942147,PEARL'S HILL ROAD
CHA41M,103.906316627136,1.31424620942147,103.906183081205,1.31452003067439,CHOA CHU KANG AVENUE 1
CHC20K,103.905871875162,1.31528147177164,103.906183081205,1.31452003067439,CHANGI BUSINESS PARK CENTRAL 1
TOW04Z,103.905871875162,1.31528147177164,103.905610050694,1.31592287131592,TOWNSHEND ROAD
REC02B,103.905610050694,1.31592287131592,103.905086166914,1.31760963145249,READ CRESCENT
AHS00H,103.905086166914,1.31760963145249,103.90318417806,1.317246986239,LORONG AH SOO
BOW01D,103.90318417806,1.317246986239,103.901338243863,1.3168936998116,BOON LAY WAY
JAV01A,103.899571180034,1.31658474496269,103.901338243863,1.3168936998116,KAMPONG JAVA ROAD
MAR21Q,103.899571180034,1.31658474496269,103.899279044603,1.31652879508807,MARTABAN ROAD
ZZZ38A,103.897557223807,1.31618786694538,103.899279044603,1.31652879508807,SERVICE ROAD
PAE02K,103.897557223807,1.31618786694538,103.896895171065,1.3160332589507,PAN ISLAND EXPRESSWAY
TEK06Z,103.896895171065,1.3160332589507,103.895986472714,1.31585852076941,LORONG J TELOK KURAU
COL03T,103.895986472714,1.31585852076941,103.894775284713,1.31562815014449,COUNTRYSIDE LINK
KEM12L,103.894775284713,1.31562815014449,103.894055739045,1.31548558915182,LORONG KEMUNCHUP
TEM09A,103.892171863633,1.31508842082883,103.894055739045,1.31548558915182,TEMBELING ROAD
PAL13M,103.892171863633,1.31508842082883,103.892231015425,1.31547132581078,PAYA LEBAR ROAD
WAE01M,103.892231015425,1.31547132581078,103.892259408762,1.31687464407793,WATTEN ESTATE ROAD
TUC06U,103.892259408762,1.31687464407793,103.89156328017,1.31999535303452,TUAS VIEW CLOSE
CAC00Y,103.891267385456,1.32131770958383,103.89156328017,1.31999535303452,CACTUS CRESCENT
ZZZ38A,103.891267385456,1.32131770958383,103.890958849533,1.3229362352542,SERVICE ROAD
KOA00H,103.88511797214,1.32219656367865,103.890958849533,1.3229362352542,JALAN KOLAM AYER
CLL03F,103.88511797214,1.32219656367865,103.881668136079,1.32086047050612,CLEANTECH LOOP
DUN01H,103.881422049435,1.32254506614859,103.881668136079,1.32086047050612,DUNEARN ROAD
DEL00Q,103.881422049435,1.32254506614859,103.881131628253,1.32405433559886,DEFU LANE 1
BOU01F,103.881131628253,1.32405433559886,103.880786027207,1.32541996769216,BOURNEMOUTH ROAD
TEE00T,103.880569124632,1.32615600416689,103.880786027207,1.32541996769216,TEO KIM ENG ROAD
DUA00Y,103.880055223882,1.32777189413894,103.880569124632,1.32615600416689,DUCHESS AVENUE
LEB02Q,103.880055223882,1.32777189413894,103.879210634589,1.33058490692371,LENGKOK BAHRU
MUL00J,103.879210634589,1.33058490692371,103.879027285623,1.33126247705667,JALAN MULIA
KAA07W,103.879027285623,1.33126247705667,103.878424316308,1.33379654503083,KAKI BUKIT AVENUE 2
CHA15A,103.87800248538,1.33569783735804,103.878424316308,1.33379654503083,CHESTNUT AVENUE
LED02F,103.875698188999,1.33846911919307,103.87800248538,1.33569783735804,LENGKONG DUA
STE00Q,103.870738335948,1.33944626697967,103.875698188999,1.33846911919307,STEVENS ROAD
THD01C,103.870801013445,1.343349693299,103.870738335948,1.33944626697967,THRIFT DRIVE
MOU00L,103.870801013445,1.343349693299,103.870798552731,1.3442535277478,MOULMEIN ROAD
HAA03Y,103.871529680833,1.3461557546136,103.870798552731,1.3442535277478,JALAN HAJI ALIAS
TON01D,103.872519946058,1.34826401269944,103.871529680833,1.3461557546136,TOA PAYOH NORTH
EAS00A,103.869864280202,1.35148269776097,103.872519946058,1.34826401269944,EAST COAST PARK SERVICE ROAD
TUL11D,103.870501819944,1.3536994049063,103.869864280202,1.35148269776097,TUAS BASIN LINK
SEW09R,103.870453026996,1.35459878867308,103.870501819944,1.3536994049063,SEMBAWANG WALK
TUP03G,103.870390230342,1.35559994919405,103.870453026996,1.35459878867308,TUAS VIEW PLACE
DEL06N,103.870390230342,1.35559994919405,103.867782334629,1.35530405593148,DEFU LANE 4
GEY28W,103.866441448444,1.35483486517192,103.867782334629,1.35530405593148,LORONG 3 GEYLANG
DEV00N,103.865443596574,1.35435553029642,103.866441448444,1.35483486517192,DEVONSHIRE ROAD
SIA03D,103.86459183353,1.35400340466298,103.865443596574,1.35435553029642,SIAN TUAN AVENUE
SAR02M,103.862699128434,1.35411082159687,103.86459183353,1.35400340466298,LORONG SARINA
YUA00Q,103.8606452476,1.35462368391653,103.862699128434,1.35411082159687,YUK TONG AVENUE
SIA00U,103.8606452476,1.35462368391653,103.856854778546,1.35539906312666,JALAN SIANTAN
