MAR23U,103.810115710809,1.33011848932972,103.811360226147,1.33033070851295,MARTIN ROAD,107.226346737,50.0
COU01T,103.810115710809,1.33011848932972,103.809662757039,1.32911439314054,COUNTRYSIDE ROAD,75.5230153485,50.0
DOS01W,103.808426321959,1.32998168754674,103.809662757039,1.32911439314054,JALAN DONDANG SAYANG,69.6348935992,50.0
AMS00N,103.808091123414,1.32950738745709,103.808426321959,1.32998168754674,AMOY STREET,279.046665417,50.0
SON00Z,103.807416326193,1.32981822022669,103.808091123414,1.32950738745709,JALAN SONGKET,76.7787238137,40.0
CAV01X,103.807156275994,1.32939910127185,103.807416326193,1.32981822022669,CAVENAGH ROAD,55.456139785,50.0
HOH01F,103.805859901563,1.32759579827855,103.807156275994,1.32939910127185,HOLLAND HILL,52.2260145124,50.0
LIA02A,103.805859901563,1.32759579827855,103.80333592654,1.32915643341246,LICHI AVENUE,160.262154232,40.0
KAP04G,103.800857867879,1.33005451337412,103.80333592654,1.32915643341246,KAMPONG KAPOR ROAD,97.2017375922,50.0
STI02L,103.800857867879,1.33005451337412,103.801638838302,1.33149232191166,STIRLING ROAD,101.759285873,40.0
WAR03D,103.801638838302,1.33149232191166,103.801839635466,1.33220514732042,WATTEN RISE,180.173597239,40.0
TAN13D,103.802097029874,1.33303130166941,103.801839635466,1.33220514732042,TANNERY ROAD,80.2285524124,50.0
TAS20C,103.80226599659,1.33335620388222,103.802097029874,1.33303130166941,TAMPINES STREET 42,238.679562556,50.0
PAE02K,103.801927172453,1.33374627728936,103.80226599659,1.33335620388222,PAN ISLAND EXPRESSWAY,536.422341741,85.0
KAA03N,103.801927172453,1.33374627728936,103.800778386546,1.33388915877897,KAKI BUKIT AVENUE 5,280.31488777,50.0
HOC04B,103.800778386546,1.33388915877897,103.800378971626,1.33358276473928,HOLLAND CLOSE,248.39918856,50.0
CHA44R,103.800378971626,1.33358276473928,103.799196662164,1.33267463961414,CHOA CHU KANG AVENUE 4,104.013645673,50.0
SPD00H,103.799196662164,1.33267463961414,103.798843333095,1.33240353707411,SPRINGLEAF DRIVE,213.766828418,50.0
KAP07N,103.798843333095,1.33240353707411,103.798620697134,1.33223272937232,KAKI BUKIT PLACE,285.889002847,50.0
TAS23F,103.798318907232,1.33233089798525,103.798620697134,1.33223272937232,TAMPINES STREET 45,226.144039771,50.0
PUD06M,103.798318907232,1.33233089798525,103.798410199992,1.33496641489779,PUNGGOL DRIVE,224.493106086,50.0
KED08G,103.798410199992,1.33496641489779,103.798985252002,1.33673858867514,KEW DRIVE,82.6492802457,50.0
EUR03A,103.798985252002,1.33673858867514,103.800448345132,1.33763827472593,EUNOS ROAD 4,77.3297504821,50.0
CAI00K,103.800448345132,1.33763827472593,103.802001088261,1.33826485010359,CAIRNHILL ROAD,185.497397934,50.0
CHC21C,103.802001088261,1.33826485010359,103.806489591115,1.33900703615722,CHANGI BUSINESS PARK CENTRAL 2,98.2635898875,50.0
TAK03T,103.803725663501,1.34184555423763,103.806489591115,1.33900703615722,TANJONG KATONG ROAD,182.350773726,50.0
GUD00Q,103.801363471325,1.34434969496763,103.803725663501,1.34184555423763,GUL DRIVE,209.4342184,50.0
ANG02X,103.799663605152,1.34612978596243,103.801363471325,1.34434969496763,JALAN ANGKLONG,71.4335790153,50.0
GUL01G,103.791334947958,1.34951312954048,103.799663605152,1.34612978596243,GUL LANE,473.55358299,50.0
CAR03N,103.787769955747,1.35346151191621,103.791334947958,1.34951312954048,CARLISLE ROAD,120.139024635,50.0
SEN02Y,103.787396819066,1.3536992537139,103.787769955747,1.35346151191621,JALAN SENANG,173.861442649,40.0
WOD17B,103.785083020741,1.3552561278166,103.787396819066,1.3536992537139,WOODLANDS DRIVE 63,136.568076045,50.0
DEL07B,103.783151737009,1.35703252779984,103.785083020741,1.3552561278166,DEFU LANE 5,75.4480262118,50.0
ZZZ38A,103.783151737009,1.35703252779984,103.781230188346,1.35974879351628,SERVICE ROAD,45.1422191546,50.0
ZZZ38A,103.781230188346,1.35974879351628,103.780257683469,1.36215639405514,SERVICE ROAD,57.6210066437,50.0
AYE00N,103.779618225194,1.36538382858254,103.780257683469,1.36215639405514,AYER RAJAH EXPRESSWAY,72.11423745,84.0
NAS00Q,103.779175147885,1.36799259046728,103.779618225194,1.36538382858254,JALAN NAGA SARI,173.918903645,50.0
GHM00D,103.779175147885,1.36799259046728,103.778128220933,1.37209601139266,GHIM MOH ROAD,157.294532511,50.0
MAP07X,103.778128220933,1.37209601139266,103.777093349585,1.37548445049301,MARINE PARADE ROAD,168.059125387,60.0
LAP01N,103.777093349585,1.37548445049301,103.773356086822,1.37647089679978,JALAN LAPANG,86.4101451187,40.0
JEL01T,103.773356086822,1.37647089679978,103.77183756345,1.37740383637633,JALAN JELITA,61.5204697605,50.0
NONAME,103.77183756345,1.37740383637633,103.770485988775,1.37520269980889,.,125.886820933,50.0
ZZZ38A,103.770485988775,1.37520269980889,103.771853384508,1.3743441198717,SERVICE ROAD,170.395158667,50.0
SOB02T,103.769690299592,1.3730994676207,103.771853384508,1.3743441198717,SOUTH BRIDGE ROAD,109.034834149,50.0
SUN04Z,103.769690299592,1.3730994676207,103.769116377893,1.37288826925415,SUNBIRD ROAD,110.530394837,50.0
STP02J,103.769116377893,1.37288826925415,103.769551733939,1.37136135474948,ST. PATRICK'S ROAD,79.6533825941,40.0
YUA01W,103.769551733939,1.37136135474948,103.769757632568,1.37070491924517,YUNG AN ROAD,193.680147404,50.0
